epoch,loss,lr,val_loss
0,0.29814162850379944,0.001,16.998279571533203
1,0.1599474996328354,0.001,3.616363286972046
2,0.13235241174697876,0.001,0.789122998714447
3,0.11952640116214752,0.001,0.27702760696411133
4,0.10276205837726593,0.001,0.191086083650589
5,0.08574418723583221,0.001,0.1925521343946457
6,0.07242884486913681,0.001,0.17592261731624603
7,0.06657148152589798,0.001,0.2501966953277588
8,0.08603788912296295,0.001,0.26316794753074646
9,0.0711100623011589,0.001,0.3257604241371155
10,0.0976221039891243,0.001,0.33841416239738464
11,0.06508062034845352,0.001,0.39516639709472656
12,0.04598655551671982,0.001,0.35426145792007446
13,0.03044474869966507,0.001,0.8844821453094482
14,0.01950061321258545,0.000100000005,0.6361097693443298
15,0.015915071591734886,0.000100000005,0.42969000339508057
